Tweet,Sentiment
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"@ProudResister @nativecary 2 years in and Trump’s still killing it. Great economy, world peace. Trump wasn’t lying… https://t.co/iyO1aYWYZO",0.8
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
If Messi wins the World Cup I can die in peace.,0.3
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"@pussyhat4peace @Khanoisseur Read years ago, if women could rule the world for even a day, they'd organize a pot lu… https://t.co/48wwu2H2re",0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
RT @Impolitics: The nice sentiments expressed in the joint statement signed by Trump and Kim have all the practical impact of a Miss Americ…,0.6
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
RT @awonacelestin: @realDonaldTrump Mrs president leth peace love and unity be all over the world. Not only in South Korea in America but a…,0.25
"War and peace in foreign lands is not, in fact, the responsibility of the UK government. We are not rulers of the world. #Newsnight",-0.125
When I reach 1 0 0 0 0 followers I will give each and every leader in the world a hug. And tell them that it’s ok.… https://t.co/QbUyZiOMK2,0.0
RT @DwayneDavidPaul: Liberals two years ago: I can't believe that the US is the most prolific jailer in the world!,0.625
Liberals this week: No…,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
Israel's use of lethal force 'could amount to war crimes'  https://t.co/Kf8zo1vzRZ,0.0
Lethal Force by Criminally Ins… https://t.co/PrXwFhn8u2,-0.4
"RT @SargonOfAkkad_3: Back in, 2014 Germany was ranked the 3rd safest country in the world. Today it sits below The Congo in 61st place.",0.0
H…,0.0
"RT @larouchepac: Yesterday will be remembered in history, not only for the extraordinary achievement in Korea, but because the ""Spirit of t…",0.16666666666666666
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"@steelydandy @DeadlineWH @MSNBC @emilyjanefox @NicolleDWallace Peace on the Korean Peninsula, in the region and the world is a distraction?",0.0
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
@realDonaldTrump Mrs president leth peace love and unity be all over the world. Not only in South Korea in America… https://t.co/zLQJR5OTtq,0.25
"RT @LeeJasper: White European nations having plundered Africa are happy to watch African men, women and children drowning in the Mediterran…",0.2
RT @Courier173: I was gonna wait til fallout 76 came out to tweet this but I couldn’t wait...,0.0
"Dear literally everyone, i really don’t want…",0.2
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
RT @muftimenk: Always remind yourself that everything in this world is temporary. People come &amp; go. Feelings change constantly. Places don’…,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"John 16:33 These things I have spoken to you, that in Me you may have peace. In the world you will have tribulation… https://t.co/tXRQI9vqVU",0.0
RT @RodStryker: The most incredible thing about watching @POTUS Trump in action dealing w/ ruthless authoritarian dictators is his confiden…,0.125
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
"@RealJack Jack, it will not mean world peace.  However it does change their plans and it takes energy away from the… https://t.co/c5SAfFnZ0t",0.15625
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
RT @Juliet777777: 👿#GeorgeSoros Complains,0.0
‘Everything That Could Go Wrong Has Gone Wrong’,-0.5
"""THATS WHAT THE DEVIL WOULD SAY",0.0
IF THERE WAS '…,0.0
RT @Menlu_RI: Eid Mubarak 1 Syawal 1439H to all my Moslem brothers and sisters.,0.0
"On this holy day, let us continue to build a peaceful and…",0.25
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"""it was shoehorned"" is code for ""I want to undermine the storyline of the game, by getting upset when time moves, a… https://t.co/5tcKFNlcpz",-0.4
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
RT @sonia_hawkss: I was playing with my nephew and in the middle of our Epic fight between Ironman and the hulk he made them kiss and have…,0.05
"RT @SargonOfAkkad_3: Back in, 2014 Germany was ranked the 3rd safest country in the world. Today it sits below The Congo in 61st place.",0.0
H…,0.0
RT @realCHOICEOrg: This is a reckless and provocative action against the only Republic in the Middle East and the strongest Nation in the W…,0.03333333333333333
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
RT @KimDotcom: Dennis Rodman believed in peace with North Korea and tried for years to start a dialogue. Watch his emotional interview abou…,0.0
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
"RT @SargonOfAkkad_3: Back in, 2014 Germany was ranked the 3rd safest country in the world. Today it sits below The Congo in 61st place.",0.0
H…,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @radoc_jeana: I have told you these things, that in me you may have peace. In the world you have oppression; but cheer up! I have overco…",0.0
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
RT @Impolitics: The nice sentiments expressed in the joint statement signed by Trump and Kim have all the practical impact of a Miss Americ…,0.6
I was playing with my nephew and in the middle of our Epic fight between Ironman and the hulk he made them kiss and… https://t.co/v9VMiaU1nz,0.05
"Welcome to the new world - Submit and be silent, do not question your masters, those who do not obey will be killed… https://t.co/Q6t4Zv8zMj",0.31212121212121213
RT @JAMALE69889763: CHINA IS THE THIRD NEUCLEAR SUPER POWER AND HOLDS THE SECOND LARGEST ECONOMY AND WITH THE HELP OF BOTH RUSSIA AND CHINA…,0.1111111111111111
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @MsLeaSalonga: Rest In Peace, Kate Spade, and thank you for the beauty you brought to this world via your colorful clothes, purses, bags…",0.3
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @Godsgirl158: Patriotism, Warriorship, Answers to America's Problems, Peace for the World, Solutions for American prosperity &amp; strength.…",0.0
"RT @MsLeaSalonga: Rest In Peace, Anthony Bourdain. Thank you for showing us the world, and good food along with it.",0.7
"@KunYKA @JulieBishopMP When U GROW UP, WHEN YR BRAIN has fully developed, &amp; after U become educated in HISTORY &amp; RE… https://t.co/lSELJhifAZ",0.1
This is a reckless and provocative action against the only Republic in the Middle East and the strongest Nation in… https://t.co/Gqf0xUZBTS,0.03333333333333333
RT @CoreyLMJones: The world witnessed Trump make history.,0.0
"We‘ve never seen a president have this much success with North Korea, that’s bec…",0.3
